teacher_id,course_id,course_name
T046,23CSE214,Operating Systems
T073,23CSE214,Operating Systems
T068,23CSE214,Operating Systems
T070,23CSE214,Operating Systems
T058,23CSE214,Operating Systems
T058,23LSE211,Life Skills for Engineers II
T080,23LSE211,Life Skills for Engineers II
T070,23LSE211,Life Skills for Engineers II
T068,23LSE211,Life Skills for Engineers II
T063,23LSE211,Life Skills for Engineers II
T082,23LSE211,Life Skills for Engineers II
T082,23CSE311,Software Engineering
T067,23CSE311,Software Engineering
T076,23CSE311,Software Engineering
T069,23CSE311,Software Engineering
T051,23CSE311,Software Engineering
T057,23CSE311,Software Engineering
T073,23CSE312,Distributed Systems
T057,23CSE312,Distributed Systems
T066,23CSE312,Distributed Systems
T047,23CSE312,Distributed Systems
T065,23CSE312,Distributed Systems
T072,23CSE312,Distributed Systems
T075,23CSE313,Foundations of Cyber Security
T049,23CSE313,Foundations of Cyber Security
T057,23CSE313,Foundations of Cyber Security
T058,23CSE313,Foundations of Cyber Security
T071,23CSE313,Foundations of Cyber Security
T065,23CSE313,Foundations of Cyber Security
T065,23CSE314,Compiler Design
T086,23CSE314,Compiler Design
T056,23CSE314,Compiler Design
T068,23CSE314,Compiler Design
T048,23CSE314,Compiler Design
T057,23CSE314,Compiler Design
T061,23CSE399,Project Phase I
T056,23CSE399,Project Phase I
T071,23CSE399,Project Phase I
T045,23CSE399,Project Phase I
T070,23CSE399,Project Phase I
T068,23CSE399,Project Phase I
T071,23LSE311,Life Skills for Engineers IV
T052,23LSE311,Life Skills for Engineers IV
T066,23LSE311,Life Skills for Engineers IV
T082,23LSE311,Life Skills for Engineers IV
T078,23LSE311,Life Skills for Engineers IV
T061,23LSE311,Life Skills for Engineers IV
T068,23CSE499,Project Phase III
T063,23CSE499,Project Phase III
T062,23CSE499,Project Phase III
T050,23CSE499,Project Phase III
T084,23CSE499,Project Phase III
T061,23CSE499,Project Phase III
T050,23CSE451,Graph Mining
T057,23CSE451,Graph Mining
T085,23CSE451,Graph Mining
T067,23CSE451,Graph Mining
T048,23CSE451,Graph Mining
T045,23CSE451,Graph Mining
T075,23CSE452,Business Analytics
T080,23CSE452,Business Analytics
T055,23CSE452,Business Analytics
T065,23CSE452,Business Analytics
T063,23CSE452,Business Analytics
T068,23CSE452,Business Analytics
T048,23CSE453,Competitive Programming
T078,23CSE453,Competitive Programming
T059,23CSE453,Competitive Programming
T050,23CSE453,Competitive Programming
T083,23CSE453,Competitive Programming
T052,23CSE453,Competitive Programming
T054,23CSE454,Concurrent Programming
T072,23CSE454,Concurrent Programming
T057,23CSE454,Concurrent Programming
T052,23CSE454,Concurrent Programming
T069,23CSE454,Concurrent Programming
T073,23CSE454,Concurrent Programming
T077,23CSE455,Design Patterns
T070,23CSE455,Design Patterns
T078,23CSE455,Design Patterns
T053,23CSE455,Design Patterns
T051,23CSE455,Design Patterns
T066,23CSE455,Design Patterns
T077,23CSE456,Domain Specific Languages
T044,23CSE456,Domain Specific Languages
T079,23CSE456,Domain Specific Languages
T066,23CSE456,Domain Specific Languages
T053,23CSE456,Domain Specific Languages
T086,23CSE456,Domain Specific Languages
T066,23CSE457,Elements of Computing
T052,23CSE457,Elements of Computing
T068,23CSE457,Elements of Computing
T047,23CSE457,Elements of Computing
T077,23CSE457,Elements of Computing
T067,23CSE457,Elements of Computing
T049,23CSE458,Embedded Programming
T050,23CSE458,Embedded Programming
T075,23CSE458,Embedded Programming
T070,23CSE458,Embedded Programming
T071,23CSE458,Embedded Programming
T065,23CSE458,Embedded Programming
T051,23CSE459,Fault Tolerant Computing Systems
T070,23CSE459,Fault Tolerant Computing Systems
T049,23CSE459,Fault Tolerant Computing Systems
T053,23CSE459,Fault Tolerant Computing Systems
T063,23CSE459,Fault Tolerant Computing Systems
T079,23CSE459,Fault Tolerant Computing Systems
T076,23CSE460,Features in Modern Programming Languages
T054,23CSE460,Features in Modern Programming Languages
T077,23CSE460,Features in Modern Programming Languages
T072,23CSE460,Features in Modern Programming Languages
T074,23CSE460,Features in Modern Programming Languages
T057,23CSE460,Features in Modern Programming Languages
T080,23CSE461,Full Stack Frameworks
T065,23CSE461,Full Stack Frameworks
T076,23CSE461,Full Stack Frameworks
T058,23CSE461,Full Stack Frameworks
T061,23CSE461,Full Stack Frameworks
T048,23CSE461,Full Stack Frameworks
T056,23CSE462,Multimedia Communication Systems
T045,23CSE462,Multimedia Communication Systems
T085,23CSE462,Multimedia Communication Systems
T059,23CSE462,Multimedia Communication Systems
T072,23CSE462,Multimedia Communication Systems
T060,23CSE462,Multimedia Communication Systems
T047,23CSE463,Quantum Computing
T060,23CSE463,Quantum Computing
T085,23CSE463,Quantum Computing
T050,23CSE463,Quantum Computing
T076,23CSE463,Quantum Computing
T079,23CSE463,Quantum Computing
T077,23CSE464,Formal Verification
T086,23CSE464,Formal Verification
T069,23CSE464,Formal Verification
T059,23CSE464,Formal Verification
T049,23CSE464,Formal Verification
T044,23CSE464,Formal Verification
T077,23CSE465,Mobile Application Development
T065,23CSE465,Mobile Application Development
T050,23CSE465,Mobile Application Development
T049,23CSE465,Mobile Application Development
T079,23CSE465,Mobile Application Development
T084,23CSE465,Mobile Application Development
T058,23CSE466,Parallel Programming
T062,23CSE466,Parallel Programming
T071,23CSE466,Parallel Programming
T050,23CSE466,Parallel Programming
T047,23CSE466,Parallel Programming
T051,23CSE466,Parallel Programming
T073,23CSE331,Cryptography
T077,23CSE331,Cryptography
T067,23CSE331,Cryptography
T086,23CSE331,Cryptography
T046,23CSE331,Cryptography
T058,23CSE331,Cryptography
T077,23CSE332,Information Security
T067,23CSE332,Information Security
T064,23CSE332,Information Security
T065,23CSE332,Information Security
T071,23CSE332,Information Security
T085,23CSE332,Information Security
T052,23CSE333,Secure Coding
T066,23CSE333,Secure Coding
T070,23CSE333,Secure Coding
T064,23CSE333,Secure Coding
T077,23CSE333,Secure Coding
T053,23CSE333,Secure Coding
T082,23CSE334,Cyber Forensics and Malware
T080,23CSE334,Cyber Forensics and Malware
T084,23CSE334,Cyber Forensics and Malware
T075,23CSE334,Cyber Forensics and Malware
T047,23CSE334,Cyber Forensics and Malware
T074,23CSE334,Cyber Forensics and Malware
T081,23CSE335,Blockchain and its Applications
T052,23CSE335,Blockchain and its Applications
T058,23CSE335,Blockchain and its Applications
T056,23CSE335,Blockchain and its Applications
T060,23CSE335,Blockchain and its Applications
T046,23CSE335,Blockchain and its Applications
T070,23CSE336,Secure Networks
T059,23CSE336,Secure Networks
T080,23CSE336,Secure Networks
T078,23CSE336,Secure Networks
T064,23CSE336,Secure Networks
T057,23CSE336,Secure Networks
T075,23CSE341,Wireless Sensor Networks
T060,23CSE341,Wireless Sensor Networks
T050,23CSE341,Wireless Sensor Networks
T063,23CSE341,Wireless Sensor Networks
T078,23CSE341,Wireless Sensor Networks
T058,23CSE341,Wireless Sensor Networks
T074,23CSE342,Advanced Computer Networks
T066,23CSE342,Advanced Computer Networks
T079,23CSE342,Advanced Computer Networks
T071,23CSE342,Advanced Computer Networks
T064,23CSE342,Advanced Computer Networks
T048,23CSE342,Advanced Computer Networks
T047,23CSE343,Wireless and Mobile Networks
T079,23CSE343,Wireless and Mobile Networks
T072,23CSE343,Wireless and Mobile Networks
T045,23CSE343,Wireless and Mobile Networks
T049,23CSE343,Wireless and Mobile Networks
T076,23CSE343,Wireless and Mobile Networks
T071,23CSE344,Modern Cellular Wireless Networks
T044,23CSE344,Modern Cellular Wireless Networks
T076,23CSE344,Modern Cellular Wireless Networks
T046,23CSE344,Modern Cellular Wireless Networks
T055,23CSE344,Modern Cellular Wireless Networks
T051,23CSE344,Modern Cellular Wireless Networks
T070,23CSE345,Software Defined Networks
T076,23CSE345,Software Defined Networks
T052,23CSE345,Software Defined Networks
T057,23CSE345,Software Defined Networks
T085,23CSE345,Software Defined Networks
T068,23CSE345,Software Defined Networks
T059,23CSE351,Foundations of Data Science
T070,23CSE351,Foundations of Data Science
T077,23CSE351,Foundations of Data Science
T071,23CSE351,Foundations of Data Science
T055,23CSE351,Foundations of Data Science
T082,23CSE351,Foundations of Data Science
T061,23CSE352,Big Data Analytics
T046,23CSE352,Big Data Analytics
T069,23CSE352,Big Data Analytics
T060,23CSE352,Big Data Analytics
T067,23CSE352,Big Data Analytics
T051,23CSE352,Big Data Analytics
T058,23CSE353,Data Visualization
T067,23CSE353,Data Visualization
T053,23CSE353,Data Visualization
T057,23CSE353,Data Visualization
T059,23CSE353,Data Visualization
T060,23CSE353,Data Visualization
T086,23CSE354,DBMS for Data Science
T075,23CSE354,DBMS for Data Science
T065,23CSE354,DBMS for Data Science
T078,23CSE354,DBMS for Data Science
T049,23CSE354,DBMS for Data Science
T073,23CSE354,DBMS for Data Science
T070,23CSE355,Mining of Massive Datasets
T059,23CSE355,Mining of Massive Datasets
T064,23CSE355,Mining of Massive Datasets
T053,23CSE355,Mining of Massive Datasets
T065,23CSE355,Mining of Massive Datasets
T084,23CSE355,Mining of Massive Datasets
T052,23CSE356,Social Network Analytics
T069,23CSE356,Social Network Analytics
T047,23CSE356,Social Network Analytics
T073,23CSE356,Social Network Analytics
T049,23CSE356,Social Network Analytics
T057,23CSE356,Social Network Analytics
T073,23CSE357,Time Series Analysis and Forecasting
T065,23CSE357,Time Series Analysis and Forecasting
T066,23CSE357,Time Series Analysis and Forecasting
T056,23CSE357,Time Series Analysis and Forecasting
T045,23CSE357,Time Series Analysis and Forecasting
T086,23CSE357,Time Series Analysis and Forecasting
T086,23CSE361,Real Time OS for Cyber Physical Systems
T080,23CSE361,Real Time OS for Cyber Physical Systems
T063,23CSE361,Real Time OS for Cyber Physical Systems
T073,23CSE361,Real Time OS for Cyber Physical Systems
T058,23CSE361,Real Time OS for Cyber Physical Systems
T060,23CSE361,Real Time OS for Cyber Physical Systems
T052,23CSE362,Edge Computing
T070,23CSE362,Edge Computing
T056,23CSE362,Edge Computing
T073,23CSE362,Edge Computing
T047,23CSE362,Edge Computing
T061,23CSE362,Edge Computing
T073,23CSE363,Cloud Computing
T085,23CSE363,Cloud Computing
T078,23CSE363,Cloud Computing
T063,23CSE363,Cloud Computing
T070,23CSE363,Cloud Computing
T081,23CSE363,Cloud Computing
T049,23CSE364,Cyber Physical Systems
T077,23CSE364,Cyber Physical Systems
T045,23CSE364,Cyber Physical Systems
T063,23CSE364,Cyber Physical Systems
T070,23CSE364,Cyber Physical Systems
T068,23CSE364,Cyber Physical Systems
T054,23CSE365,Internet of Things
T055,23CSE365,Internet of Things
T052,23CSE365,Internet of Things
T069,23CSE365,Internet of Things
T071,23CSE365,Internet of Things
T056,23CSE365,Internet of Things
T086,23CSE371,Digital Image Processing
T050,23CSE371,Digital Image Processing
T056,23CSE371,Digital Image Processing
T067,23CSE371,Digital Image Processing
T066,23CSE371,Digital Image Processing
T060,23CSE371,Digital Image Processing
T069,23CSE372,Computer Graphics and Animation
T061,23CSE372,Computer Graphics and Animation
T063,23CSE372,Computer Graphics and Animation
T060,23CSE372,Computer Graphics and Animation
T047,23CSE372,Computer Graphics and Animation
T067,23CSE372,Computer Graphics and Animation
T079,23CSE373,Computer Vision
T070,23CSE373,Computer Vision
T076,23CSE373,Computer Vision
T052,23CSE373,Computer Vision
T081,23CSE373,Computer Vision
T074,23CSE373,Computer Vision
T044,23CSE374,Video Analysis
T046,23CSE374,Video Analysis
T080,23CSE374,Video Analysis
T071,23CSE374,Video Analysis
T049,23CSE374,Video Analysis
T074,23CSE374,Video Analysis
T052,23CSE375,Augmented and Virtual Reality
T056,23CSE375,Augmented and Virtual Reality
T073,23CSE375,Augmented and Virtual Reality
T066,23CSE375,Augmented and Virtual Reality
T049,23CSE375,Augmented and Virtual Reality
T071,23CSE375,Augmented and Virtual Reality
T073,23CSE470,Semantic Web
T078,23CSE470,Semantic Web
T072,23CSE470,Semantic Web
T049,23CSE470,Semantic Web
T044,23CSE470,Semantic Web
T059,23CSE470,Semantic Web
T069,23CSE471,Natural Language Processing
T084,23CSE471,Natural Language Processing
T045,23CSE471,Natural Language Processing
T078,23CSE471,Natural Language Processing
T086,23CSE471,Natural Language Processing
T077,23CSE471,Natural Language Processing
T073,23CSE472,Artificial Intelligence and Robotics
T062,23CSE472,Artificial Intelligence and Robotics
T076,23CSE472,Artificial Intelligence and Robotics
T049,23CSE472,Artificial Intelligence and Robotics
T082,23CSE472,Artificial Intelligence and Robotics
T059,23CSE472,Artificial Intelligence and Robotics
T048,23CSE473,Neural Networks and Deep Learning
T067,23CSE473,Neural Networks and Deep Learning
T049,23CSE473,Neural Networks and Deep Learning
T046,23CSE473,Neural Networks and Deep Learning
T064,23CSE473,Neural Networks and Deep Learning
T056,23CSE473,Neural Networks and Deep Learning
T052,23CSE474,Computational Intelligence
T086,23CSE474,Computational Intelligence
T051,23CSE474,Computational Intelligence
T045,23CSE474,Computational Intelligence
T055,23CSE474,Computational Intelligence
T054,23CSE474,Computational Intelligence
T071,23CSE475,Generative AI
T076,23CSE475,Generative AI
T081,23CSE475,Generative AI
T066,23CSE475,Generative AI
T079,23CSE475,Generative AI
T046,23CSE475,Generative AI
T072,23CSE476,Conversational AI
T061,23CSE476,Conversational AI
T076,23CSE476,Conversational AI
T065,23CSE476,Conversational AI
T054,23CSE476,Conversational AI
T051,23CSE476,Conversational AI
T045,23CSE477,Reinforcement Learning
T076,23CSE477,Reinforcement Learning
T079,23CSE477,Reinforcement Learning
T060,23CSE477,Reinforcement Learning
T064,23CSE477,Reinforcement Learning
T085,23CSE477,Reinforcement Learning
T046,23CSE478,Drones and Robotics
T048,23CSE478,Drones and Robotics
T055,23CSE478,Drones and Robotics
T050,23CSE478,Drones and Robotics
T056,23CSE478,Drones and Robotics
T051,23CSE478,Drones and Robotics
T076,23CSE479,Machine Learning with Graphs
T085,23CSE479,Machine Learning with Graphs
T060,23CSE479,Machine Learning with Graphs
T078,23CSE479,Machine Learning with Graphs
T052,23CSE479,Machine Learning with Graphs
T053,23CSE479,Machine Learning with Graphs
T073,23CSE480,AI for Industrial Decision Making
T082,23CSE480,AI for Industrial Decision Making
T056,23CSE480,AI for Industrial Decision Making
T062,23CSE480,AI for Industrial Decision Making
T080,23CSE480,AI for Industrial Decision Making
T071,23CSE480,AI for Industrial Decision Making
